Title                                   Artist                                  Album                                   Length Year ADDITIONAL_INFORMATION                  
Truth Doesn't Make A Noise              The White Stripes                       De Stijl                                3:15   2010 Digital BitRate: 320                    
Sister Do You Know My Name?             The White Stripes                       De Stijl                                2:52   2010 Digital BitRate: 320                    
Death Letter                            The White Stripes                       De Stijl                                4:30   2010 Digital BitRate: 320                    
I'm Bound to Pack it Up                 The White Stripes                       De Stijl                                3:10   2010 Digital BitRate: 320                    
Hello Operator                          The White Stripes                       De Stijl                                2:36   2010 Digital BitRate: 320                    
Little Bird                             The White Stripes                       De Stijl                                3:20   2010 Digital BitRate: 320                    
You're Pretty Good Looking              The White Stripes                       De Stijl                                1:50   2010 Digital BitRate: 320                    
Doubt                                   Twenty One Pilots                       Blurryface                              3:11   2015 Digital BitRate: 1411                   
Goner                                   Twenty One Pilots                       Blurryface                              3:57   2015 Digital BitRate: 1411                   
Not Today                               Twenty One Pilots                       Blurryface                              3:58   2015 Digital BitRate: 1411                   
Hometown                                Twenty One Pilots                       Blurryface                              3:55   2015 Digital BitRate: 1411                   
Message Man                             Twenty One Pilots                       Blurryface                              4:00   2015 Digital BitRate: 1411                   
We Don't Believe What's On TV           Twenty One Pilots                       Blurryface                              2:57   2015 Digital BitRate: 1411                   
Polarize                                Twenty One Pilots                       Blurryface                              3:47   2015 Digital BitRate: 1411                   
Fairly Local                            Twenty One Pilots                       Blurryface                              3:27   2015 Digital BitRate: 1411                   
The Judge                               Twenty One Pilots                       Blurryface                              4:58   2015 Digital BitRate: 1411                   
Lane Boy                                Twenty One Pilots                       Blurryface                              4:13   2015 Digital BitRate: 1411                   
Tear In My Heart                        Twenty One Pilots                       Blurryface                              3:08   2015 Digital BitRate: 1411                   
Heavydirtysoul                          Twenty One Pilots                       Blurryface                              3:55   2015 Digital BitRate: 1411                   
Ride                                    Twenty One Pilots                       Blurryface                              3:35   2015 Digital BitRate: 1411                   
Stressed Out                            Twenty One Pilots                       Blurryface                              3:22   2015 Digital BitRate: 1411                   
